,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],0.99,48,46.1
1,2MASS J00040288-6410358,1.63,19,192
2,LHS 102BC,,,
3,2MASS J00242463-0158201,1.09,79,37.7
4,2MASS J00250365+4759191AB,,,143
5,2MASS J00274197+0503417,1.44,31,236
6,2MASS J00275592+2219328,,,46.9
7,2MASSW J0030300-145033,0.98,54,87.2
8,2MASS J00332386-1521309 [de],1.43,29,131
9,2MASS J00345157+0523050,0.94,42,31
10,2MASS 0036+1821,0.94,42,28.6
11,2MASSW J0045214+163445,1.62,23,57
12,WISEP J004701.06+680352.1 [fr],1.3,12,40
13,2MASS J00501994-3322402 [de],0.94,40,34
14,2MASS J00034227-2822410,,,
15,2MASS J00584253-0651239 [de],1.43,29,96
16,CFBDS J005910.90–011401.3,,23,30
17,2MASSI J0103320+193536,0.98,52,70
18,SDSSp J010752.33+004156.1 [de],0.98,52,51
19,2MASSI J0117474-340325 [de],1.62,20,163
20,2MASS J01415823-4633574 [de],1.61,20,130
21,SDSS J015141.69+124429.6,0.97,47,70
22,DENIS-P J020529.0−115925A,,,65
23,DENIS-P J020529.0−115925B,,,65
24,DENIS-P J020529.0−115925C,,,65
25,SDSS J020742.48+000056.2 [de],0.97,47,111
26,2MASS J02103857-3015313,1.53,15,101
27,2MASS J02340093-6442068,1.62,20,155
28,2MASS J02411151-0326587 [de],1.41,27,152
29,2MASS J02431371−2453298,0.99,33,35
30,LP 771-21,1.08,78,53
31,2MASS J02511327+0047364,,,
32,Teegarden's star,1.27,80,12.578
33,2MASS J02535980+3206373,1.9,65,184
34,WISE J0254+0223,1.9,65,24
35,DEN 0255-4700,0.97,80,16.2
36,2MASS J03185403-3421292 [de],0.97,49,45
37,2MASS J03205965+1854233,1.15,88,47
38,2MASS J03231002-4631237,1.66,23,192
39,SDSS J032553.17+042540.1,0.95,45,59
40,2MASS J03264225-2102057 [de],1.3,18,80
41,2MASS J03284265+2302051 [de],0.98,54,98
42,2MASS J03341218-4953322,1.04,73,27.0
43,LP 944-20,1.43,73,20.9
44,2MASP J0345432+254023,1.05,74,88
45,Teide 1,3.78,55,380
46,2MASS J03510004-0052452,1.27,102,48
47,2MASS J03552337+1133437,1.32,20,29.8
48,DENIS-P J035726.9-441730 [de],,,130
49,2MASS J04151954−0935066,0.95,30,18.6
50,SDSSp J042348.57-041403.5 [de],,,50
51,2MASS J04285096-2253227 [de],1.09,80,85
52,2MASS J04351612-1606574,1.26,100,34
53,2MASS J04362788-4114465,1.97,39,142
54,2MASS J04390101-2353083 [de],0.97,48,29.5
55,2MASS J04414489+2301513,,19,470
56,2MASS J04433764+0002040,1.78,22,82
57,2MASS J04455387-3048204 [de],1.00,64,42
58,2MASS J04510093-3402150 [de],72,1.04,69
59,2MASS J05002100+0330501 [de],1.00,64,44
60,2MASS J05012406-0010452 [de],1.38,21,64
61,2MASS J05160945-0445499 [de],0.97,47,73
62,2MASS J0523−1403,1.01,68,40
63,2MASS 0532+8246,,83,81
64,SDSS J053951.99-005902.0,1.01,61,41.62
65,2MASS J05591914-1404488 [de],,,34
66,LSR 0602+3910 [de],1.41,28,34.6
67,2MASS J06085283-2753583,1.51,38,102
68,WISEP J061135.13-041024.0A,,65,69
69,WISEP J061135.13-041024.0B,,53,69
70,2MASS J06244595-4521548 [de],0.99,56,39
71,2MASS J06411840-4322329 [de],1.01,67,65
72,DENIS-P J0652197-253450 [de],1.05,75,51
73,2MASS J07003664+3157266 [de],,,40
74,2MASS J07075327-4900503,1.03,72,60
75,UGPS J072227.51-054031.2,0.98,26,13.4
76,2MASSI J0727182+171001 [de],0.94,41,29.6
77,2MASS J07290002-3954043 [de],0.94,37,25.8
78,SDSS J074201.41+205520.5 [de],0.94,43,49
79,2MASS J0746425+200032 [fr],,,49.6
80,DENIS-P J0751164-253043 [de],1.03,71,55
81,2MASS J07522390+1612157,68,2.01,60
82,DENIS J081730.0-615520,0.94,44,16.1
83,DENIS J082303.1−491201A,,44,67
84,DENIS J082303.1−491201B,,28,67
85,2MASS J08251968+2115521 [de],0.98,52,35
86,SDSSp J083008.12+482847.4 [de],0.99,48,43
87,LHS 2021,1.15,88,55
88,SDSS J083048.80+012831.1 [de],0.96,46,77
89,2MASSI J0835425-081923 [de],1.00,62,23.53
90,2MASSI J0847287-153237 [de],1.00,64,43
91,2MASS J08533619-0329321,1.07,77,27.6
92,2MASSI J0859254-194926 [de],0.98,50,50
93,2MASSW J0920122+351742 [de],,,95
94,2MASSI J0937347+293142,0.94,42,20.0
95,2MASS 0939−2448,0.95,32,17.4
96,2MASS J09490860-1545485 [de],0.96,49,59
97,2MASS J10073369-4555147,0.94,44,46
98,2MASSI J1010148-040649 [de],0.98,51,55
99,2MASSI J1017075+130839 [de],,,108
100,SDSS J102109.69-030420.1,,,95
101,2MASS J10224821+5825453 [de],1.41,27,60
102,2MASSW J1036530-344138 [de],0.97,49,53
103,2MASS J1047538+212423 [de],0.94,42,34.4
104,DEN 1048-3956,1.07,77,13.15
105,Luhman 16B,1.02,43,6.516
106,Luhman 16A,1.01,40,6.516
107,DENIS-P J1058.7−1548,1.00,64,49
108,TWA 28,2.39,36,180
109,Cha 110913-773444,1.8,8,163
110,OTS 44,,15,554
111,SDSS J111010.01+011613.1,1.24,9,63
112,2MASS J11145133−2618235,0.96,33,18.2
113,TWA 26,2.20,30,137
114,2MASSW J1146345+223053,,,89
115,2MASS J11544223-3400390 [de],1.50,37,129
116,2MASSW J1155395-372735 [de],1.00,64,31
117,TWA 27A,,,
118,TWA 27B,,,
119,2MASS J12074836-3900043,1.71,17,217
120,2MASSI J1217110-031113 [de],0.94,42,36
121,2MASS J12255432-2739466,,,43
122,DENIS-P J1228.2-1547,,,66
123,2M 1237+6526,0.94,41,45.6
124,2MASSW J1239272+551537 [de],,,119
125,TWA 29,25,2.00,262
126,SDSSp J125453.90-012247.4 [de],0.98,47,38
127,Kelu-1A,0.98,63,61
128,Kelu-1B,0.98,58,61
129,2MASS J13204427+0409045,1.01,67,101
130,SDSSp J132629.82-003831.5 [de],0.97,51,65
131,SDSSp J134646.45-003150.4 [de],0.94,44,48
132,2MASS J13595510-4034582,1.00,63,51
133,ULAS J141623.94+134836.3,0.96,32,29.7
134,SDSS J141659.78+500626.4 [de],0.99,59,149
135,DENIS-P J142527.97-365023.4 [de],1.32,21,38
136,LHS 2924,1.06,76,38.5
137,2MASS J14392837+1929150,1.03,72,47
138,LSPM J1440+1339,1.19,92,72
139,2MASS J14482563+1031590 [de],0.99,59,47
140,CFBDSIR 1458+10A,1.5,11.1,104
141,CFBDSIR 1458+10B,1.3,9,104
142,TVLM 513-46546,1.05,75,35.1
143,2MASS 1503+2525,0.94,44,20.7
144,CFBDS J150411+102717,0.94,44,71
145,2MASSW J1506544+132106 [de],1.02,69,46
146,2MASS 1507−1627,0.99,60,23.9
147,TVLM 868-110639,1.08,79,53
148,SDSS J151114.66+060742.9 [de],,,89
149,2MASSW J1515008+484742 [de],0.99,57,34
150,2MASSI J1526140+204341 [de],0.98,54,67
151,DENIS-P J153941.96-052042.4 [de],1.00,63,51
152,2MASS J15462718-3325111 [de],0.94,44,37
153,2MASSW J1552591+294849 [de],1.43,30,68
154,2MASSW J1555157-095605 [de],1.03,71,44
155,2MASS J16150413+1340079 [de],0.94,42,48
156,SDSSp J162414.37+002915.6 [de],0.94,43,36
157,2MASS J16262034+3925190 [de],1.03,71,110
158,2MASSW J1632291+190441 [de],0.97,49,50
159,WISEPA J164715.59+563208.2,0.94,41,28
160,LSPM J1658+7027 [de],1.04,73,60
161,2MASSI J1726000+153819,1.40,24,114
162,2MASSW J1728114+394859,,,79
163,SDSSp J175032.96+175903.9,0.97,47,90
164,2MASS J18283572-4849046,0.95,45,39
165,LSR J1835+3259,1.07,77,18.5
166,2MASSW J1841086+311727,1.01,67,138
167,2MASS J18432213+4040209,1.22,96,46
168,2MASS J20004841-7523070,1.88,25,105
169,SDSS J204749.61-071818.3,0.96,46,65
170,2MASSI J2057540-025230,1.02,70,47
171,2MASSW J2101154+175658,,,108
172,2MASSI J2104149-103736,1.02,69,62
173,PSO J318.5−22,1.53,6.5,80
174,HB 2124-4228,1.21,94,113
175,2MASS J21392676+0220226,0.96,46,32.1
176,2MASS J21481628+4003593,0.99,55,26.3
177,2MASS J14112131-2119503,,,
178,2MASSW J2206450-421721,1.33,22,93
179,2MASSW J2208136+292121,1.41,27,154
180,2MASSW J2224438-015852,0.99,61,38
181,2MASS J22282889-4310262,0.94,42,35
182,2MASS J22373255+3922398,1.04,73,64
183,2MASSW J2244316+204343,1.29,12,56
184,2MASS J23224684-3133231,1.39,24,56
185,2MASS J23225299-6151275,1.59,17,148
186,2MASS J23515044-2537367,1.16,88,67
187,2MASSI J2356547-155310,1.09,80,74
188,WISE 0005+3737,,,23.2
189,WISE 0008-1739,,,87.1
190,WISE 0015-4615,,,48.6
191,WISE 0031-3840,,,71.8
192,WISE 0032-4946,,,62.9
193,WISE 0038+2758,,,36.9
194,WISE 0038+8405,,,101.8
195,WISE 0040+0900,,,47.6
196,WISE 0049+0441,,,62.6
197,WISE 0049+2151,,,24.1
198,WISE 0106+1518,,,142.9
199,WISE 0123+4142,,,67.2
200,WISE 0135+1715,,,77.3
201,WISE 0138-0322,,,57.7
202,WISE 0146+4234,,,20.5
203,WISE 0148-7202,,,30
204,WISE 0150+3827,,,61.3
205,WISE 0206+2640,,,58.4
206,WISE 0221+3842,,,73.1
207,WISE 0223-2932,,,47
208,WISE 0226-0211,,,91
209,WISE 0241-3653,,,53.8
210,WISE 0245-3450,,,56.1
211,WISE 0247+3725,,,57.1
212,WISE 0305+3954,,,75
213,WISE 0307+2904,,,82.8
214,WISE 0313+7807,,,28
215,WISE 0316+4307,,,106.3
216,WISE 0321-7347,,,84.8
217,WISE 0323-6025,,,45.3
218,WISE 0325-3854,,,51.2
219,WISE 0325+0831,,,36.5
220,WISE 0333-5856,,,54.8
221,WISE 0335+4310,,,45.7
222,WISE 0336-0143,,,55.4
223,WISE 0350-5658,,,17.7
224,WISE 0359-5401,,,19.2
225,WISE 0410+1502,1.17,6,20
226,WISE 0410+1411,,,85.8
227,WISE 0413-4750,,,66.2
228,WISE 0448-1935,,,69.8
229,WISE 0458+6434A,4.2,15,35.9
230,WISE 0458+6434B,3.8,10,35.9
231,WISE 0500-1223,,,47
232,WISE 0513+0608,,,44.7
233,WISE 0525+6739,,,98.2
234,WISE 0528-3308,,,57.4
235,WISE 0535-7500,,,47
236,WISE 0539-1034,,,84.8
237,WISE 0542-1628,,,50.6
238,WISE 0607+2429,,,25.4
239,WISE 0611-0410,,,57.7
240,WISE 0612-4920,,,95.2
241,WISE 0612-3036,,,64.9
242,WISE 0614+3912,,,50.2
243,WISE 0614+0951,,,51.5
244,WISE 0623-0456,,,37.5
245,WISE 0625+5646,,,67.2
246,WISE 0627-1114,,,37.2
247,WISE 0647-6232,,,28
248,WISE 0656+4205,,,54.1
249,WISE 0713-2917,,,23.2
250,WISE 0723+3403,,,45.7
251,WISE 0733+7544,,,78.3
252,WISE 0734-7157,,,34.9
253,WISE 0744+5628,,,47.3
254,WISE 0750+2725,,,51.5
255,WISE 0751-7634,,,39.1
256,WISE 0759-4904,,,38.8
257,WISE 0811-8051,,,32
258,WISE 0812+4021,,,63.6
